municipio	nu_ano	count
GO-JATAÍ	2019	103
GO-GOIÂNIA	2019	65
DF-BRASÍLIA	2019	41
SP-SÃO PAULO	2019	28
GO-RIO VERDE	2019	18
GO-APARECIDA DE GOIÂNIA	2019	17
GO-MINEIROS	2019	14
GO-ANÁPOLIS	2019	3
GO-JATAÍ	2020	107
GO-GOIÂNIA	2020	52
DF-BRASÍLIA	2020	38
SP-SÃO PAULO	2020	24
GO-RIO VERDE	2020	18
GO-APARECIDA DE GOIÂNIA	2020	12
GO-MINEIROS	2020	10
GO-ANÁPOLIS	2020	9
GO-JATAÍ	2021	92
GO-GOIÂNIA	2021	47
DF-BRASÍLIA	2021	44
SP-SÃO PAULO	2021	25
GO-RIO VERDE	2021	15
GO-APARECIDA DE GOIÂNIA	2021	9
GO-MINEIROS	2021	8
GO-ANÁPOLIS	2021	5
GO-JATAÍ	2022	86
GO-GOIÂNIA	2022	45
DF-BRASÍLIA	2022	34
SP-SÃO PAULO	2022	23
GO-RIO VERDE	2022	16
GO-APARECIDA DE GOIÂNIA	2022	9
GO-ANÁPOLIS	2022	6
GO-MINEIROS	2022	4
GO-JATAÍ	2023	101
GO-GOIÂNIA	2023	60
DF-BRASÍLIA	2023	32
GO-RIO VERDE	2023	24
SP-SÃO PAULO	2023	14
GO-APARECIDA DE GOIÂNIA	2023	13
GO-ANÁPOLIS	2023	6
GO-MINEIROS	2023	6
GO-JATAÍ	2024	108
GO-GOIÂNIA	2024	61
DF-BRASÍLIA	2024	35
GO-RIO VERDE	2024	24
GO-APARECIDA DE GOIÂNIA	2024	19
SP-SÃO PAULO	2024	14
GO-ANÁPOLIS	2024	13
GO-MINEIROS	2024	9
