ano	grupocota	notacorte
2015	AC	675.18
2015	PPI	634.9749999999999
2015	RI	635.7
2015	RS	648.45
2016	AC	683.1
2016	PPI	625.8399999999999
2016	RI	630.6700000000001
2016	RS	645.56
2017	AC	690.08
2017	PPI	631.9749999999999
2017	RI	640.925
2017	RS	651.29
2018	AC	697.91
2018	PPI	622.395
2018	RI	622.67
2018	RS	631.2649999999999
2018	cD	592.8775
2019	AC	706.57
2019	PPI	574.7575
2019	RI	599.6366666666667
2019	RS	616.59
2019	cD	492.085
2020	AC	696.31
2020	PPI	601.0625
2020	RI	615.4725
2020	RS	626.105
2020	cD	586.5575
2021	AC	692.13
2021	PPI	607.135
2021	RI	642.6333333333333
2021	RS	590.5525
2021	cD	552.0
2022	AC	701.21
2022	PPI	581.7466666666667
2022	RI	588.2175
2022	RS	623.93
2022	cD	540.02
2023	AC	690.11
2023	PPI	547.5875
2023	RI	574.75
2023	RS	573.1800000000001
2023	cD	496.795
2024	AC	690.11
2024	PPI	547.5875
2024	RI	574.75
2024	RS	573.1800000000001
2024	cD	496.795
