Parâmetro	Valor
Nome do curso	BIOMEDICINA
Unidade Acadêmica	ICS
Grau	Bacharelado
Turno	Integral
Duração mínima em semestres	8
Vagas anuais	40
Nota de corte da ampla concorrência em 2024	690
Ingressantes de 2012 a 2024	529 (40.7 por ano)
Graduados de 2012 a 2024	292 (24.3 por ano)
Taxa de formação histórica	56.1% (224 graduados desde 2015 para 399 ingressantes de 2012 a 2021)
Conceito Preliminar de Curso (CPC 2023)	Contínuo: 3.3, Faixa: 4
Matriculados em 2024-1	131 (81.9% da capacidade)
Matriculados em 2024-2	120 (75.0% da capacidade)
