anoinicio	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	Total
2007	1													1
2008	5	1	2											8
2009	20	2	5											27
2010	1	18	7	3										29
2011			6	9	9		1	1			1			27
2012				10	11	3	2							26
2013					13	4	4	2						23
2014						9	7	4						20
2015						1	2	6	2	2	2			15
2016								8	5	2	1	1		17
2017									10	13	4	3		30
2018										11	3	2	2	18
2019									1		11	4	2	18
2020												12	4	16
2021													15	15
2022													2	2
Total	27	21	20	22	33	17	16	21	18	28	22	22	25	292
