anoinicio	anograd	pivot-grouping	count
2007	2012	0	1
2008	2012	0	5
2008	2013	0	1
2008	2014	0	2
2009	2012	0	20
2009	2013	0	2
2009	2014	0	5
2010	2012	0	1
2010	2013	0	18
2010	2014	0	7
2010	2015	0	3
2011	2014	0	6
2011	2015	0	9
2011	2016	0	9
2011	2018	0	1
2011	2019	0	1
2011	2022	0	1
2012	2015	0	10
2012	2016	0	11
2012	2017	0	3
2012	2018	0	2
2013	2016	0	13
2013	2017	0	4
2013	2018	0	4
2013	2019	0	2
2014	2017	0	9
2014	2018	0	7
2014	2019	0	4
2015	2017	0	1
2015	2018	0	2
2015	2019	0	6
2015	2020	0	2
2015	2021	0	2
2015	2022	0	2
2016	2019	0	8
2016	2020	0	5
2016	2021	0	2
2016	2022	0	1
2016	2023	0	1
2017	2020	0	10
2017	2021	0	13
2017	2022	0	4
2017	2023	0	3
2018	2021	0	11
2018	2022	0	3
2018	2023	0	2
2018	2024	0	2
2019	2020	0	1
2019	2022	0	11
2019	2023	0	4
2019	2024	0	2
2020	2023	0	12
2020	2024	0	4
2021	2024	0	15
2022	2024	0	2
	2012	1	27
	2013	1	21
	2014	1	20
	2015	1	22
	2016	1	33
	2017	1	17
	2018	1	16
	2019	1	21
	2020	1	18
	2021	1	28
	2022	1	22
	2023	1	22
	2024	1	25
2007		2	1
2008		2	8
2009		2	27
2010		2	29
2011		2	27
2012		2	26
2013		2	23
2014		2	20
2015		2	15
2016		2	17
2017		2	30
2018		2	18
2019		2	18
2020		2	16
2021		2	15
2022		2	2
		3	292
