ano_enade	nota_enade	Nota ENEM
2016	44.9	564.825
2016	45.5	436.59999999999997
2016	53.8	583.675
2016	40.6	580.775
2016	54.2	566.8
2016	53.8	561.875
2016	24.6	450.47499999999997
2016	34.4	583.075
2016	42.4	585.125
2016	37.4	610.9250000000001
2016	53.8	510.85
2016	34.0	544.525
2016	53.5	539.625
2016	35.3	470.875
2016	40.7	645.3
2016	45.9	550.85
2016	26.3	525.725
2016	31.5	483.15
2016	45.5	568.15
2016	29.6	574.775
2016	39.4	470.09999999999997
2016	18.1	554.875
2016	53.0	564.875
2016	52.6	637.9
2016	52.3	522.1750000000001
2016	39.5	600.05
2016	70.6	610.525
2016	35.6	561.6
2016	65.4	657.825
2016	36.6	580.65
2016	52.9	595.875
2016	37.8	553.8
2016	32.4	516.05
2016	33.4	544.7
2016	31.0	582.425
2016	43.4	618.25
2019	48.1	661.4250000000001
2019	55.6	600.2750000000001
2019	44.7	527.65
2019	29.2	425.65
2019	34.7	498.24999999999994
2019	45.2	549.375
2019	58.4	567.775
2019	51.9	595.15
2019	62.2	617.825
2019	60.6	677.4000000000001
2019	64.5	648.375
2019	31.8	491.35
2019	63.4	573.5
2019	56.8	521.2750000000001
2019	51.4	539.9000000000001
2019	64.7	601.5250000000001
2019	27.8	459.2
2019	63.9	554.0
2019	46.5	553.375
2019	55.9	537.5
2019	28.6	440.05000000000007
2019	60.9	681.25
2023	40.3	524.7249999999999
2023	43.2	550.95
2023	70.8	624.35
2023	66.6	610.2750000000001
2023	79.0	595.55
2023	70.3	631.55
2023	29.1	517.6
2023	64.1	596.825
2023	59.4	584.125
2023	65.3	625.925
2023	41.4	588.275
2023	50.1	630.975
2023	66.3	628.8999999999999
2023	67.4	605.25
2023	61.4	658.4250000000001
2023	64.7	575.8000000000001
2023	47.5	577.025
2023	41.1	575.925
2023	47.7	571.975
2023	34.5	516.25
2023	51.9	588.175
2023	26.9	465.1
2023	57.1	567.4
