resumo	Classificação	curso	nps
Acervo da biblioteca	Ruim	BIOMEDICINA	-11.0
Apoio pedagógico	Ruim	BIOMEDICINA	-17.0
Atendimento prestado pelos TAEs	Atenção	BIOMEDICINA	25.0
Cenários de práticas	Atenção	BIOMEDICINA	8.0
Coordenação: Atendimento das demandas	Atenção	BIOMEDICINA	17.0
Coordenação: Horário de atendimento	Atenção	BIOMEDICINA	25.0
Estágio: condições de aprendizagem	Atenção	BIOMEDICINA	25.0
Estágio: suporte à formação	Atenção	BIOMEDICINA	25.0
Interação da coordenação do curso	Ruim	BIOMEDICINA	-17.0
Portal discente/docente	Ruim	BIOMEDICINA	0.001
Recursos audiovisuais e tecnológicos	Ruim	BIOMEDICINA	-25.0
ᴵ Estímulo à participação em projetos	Atenção	BIOMEDICINA	42.0
ᴵ Interdisciplinariedade	Ruim	BIOMEDICINA	0.001
