resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	0	0
Acervo da biblioteca	Ruim	BIOMEDICINA	-11.0
Apoio pedagógico	Atenção	0	0
Apoio pedagógico	Ruim	BIOMEDICINA	-17.0
Atendimento prestado pelos TAEs	Atenção	BIOMEDICINA	25.0
Atendimento prestado pelos TAEs	Ruim	0	0
Cenários de práticas	Atenção	BIOMEDICINA	8.0
Cenários de práticas	Ruim	0	0
Coordenação: Atendimento das demandas	Atenção	BIOMEDICINA	17.0
Coordenação: Atendimento das demandas	Ruim	0	0
Coordenação: Horário de atendimento	Atenção	BIOMEDICINA	25.0
Coordenação: Horário de atendimento	Ruim	0	0
Estágio: condições de aprendizagem	Atenção	BIOMEDICINA	25.0
Estágio: condições de aprendizagem	Ruim	0	0
Estágio: suporte à formação	Atenção	BIOMEDICINA	25.0
Estágio: suporte à formação	Ruim	0	0
Interação da coordenação do curso	Atenção	0	0
Interação da coordenação do curso	Ruim	BIOMEDICINA	-17.0
Portal discente/docente	Atenção	0	0
Portal discente/docente	Ruim	BIOMEDICINA	0.001
Recursos audiovisuais e tecnológicos	Atenção	0	0
Recursos audiovisuais e tecnológicos	Ruim	BIOMEDICINA	-25.0
ᴵ Estímulo à participação em projetos	Atenção	BIOMEDICINA	42.0
ᴵ Estímulo à participação em projetos	Ruim	0	0
ᴵ Interdisciplinariedade	Atenção	0	0
ᴵ Interdisciplinariedade	Ruim	BIOMEDICINA	0.001
