resumo	curso	aprovado	Classificação	nps
Assiduidade	BIOMEDICINA	False	Excelente	83.0
Assiduidade	BIOMEDICINA	True	Excelente	91.0
Coerência do método avaliativo	BIOMEDICINA	False	Bom	58.0
Coerência do método avaliativo	BIOMEDICINA	True	Excelente	75.0
Cortesia e Ética	BIOMEDICINA	False	Bom	72.0
Cortesia e Ética	BIOMEDICINA	True	Excelente	79.0
Cumprimento do plano de ensino	BIOMEDICINA	False	Bom	72.0
Cumprimento do plano de ensino	BIOMEDICINA	True	Excelente	87.0
Domínio e apresentação	BIOMEDICINA	False	Bom	53.0
Domínio e apresentação	BIOMEDICINA	True	Bom	72.0
Estímulo ao aprendizado	BIOMEDICINA	False	Bom	53.0
Estímulo ao aprendizado	BIOMEDICINA	True	Bom	73.0
Incentivo a Projetos	BIOMEDICINA	False	Bom	56.0
Incentivo a Projetos	BIOMEDICINA	True	Bom	56.0
Promoção do raciocínio crítico/reflexivo	BIOMEDICINA	False	Bom	53.0
Promoção do raciocínio crítico/reflexivo	BIOMEDICINA	True	Bom	72.0
Relacionamento conteúdo-profissão	BIOMEDICINA	False	Bom	67.0
Relacionamento conteúdo-profissão	BIOMEDICINA	True	Bom	74.0
