sg_uf_candidato	nu_ano	count
GO	2019	294
GO	2020	272
GO	2021	147
GO	2022	117
GO	2023	157
GO	2024	146
DF	2019	19
DF	2020	32
DF	2021	14
DF	2022	22
DF	2023	19
DF	2024	24
SP	2019	40
SP	2020	27
SP	2021	28
SP	2022	6
SP	2023	9
SP	2024	8
PA	2019	13
PA	2020	8
PA	2021	7
PA	2022	5
PA	2023	5
PA	2024	2
MG	2019	11
MG	2020	9
MG	2021	7
MG	2022	1
MG	2023	5
MG	2024	4
BA	2019	15
BA	2020	6
BA	2021	3
BA	2022	4
BA	2023	5
BA	2024	4
MT	2019	9
MT	2020	5
MT	2021	2
MT	2022	1
MT	2023	3
MT	2024	5
MA	2019	3
MA	2020	3
MA	2021	3
MA	2022	2
MA	2023	4
MA	2024	4
