municipio	nu_ano	count
GO-JATAÍ	2019	181
GO-GOIÂNIA	2019	30
DF-BRASÍLIA	2019	19
GO-MINEIROS	2019	7
GO-LUZIÂNIA	2019	6
GO-APARECIDA DE GOIÂNIA	2019	5
GO-ANÁPOLIS	2019	3
GO-RIO VERDE	2019	3
GO-JATAÍ	2020	162
DF-BRASÍLIA	2020	32
GO-GOIÂNIA	2020	24
GO-APARECIDA DE GOIÂNIA	2020	7
GO-MINEIROS	2020	6
GO-RIO VERDE	2020	4
GO-ANÁPOLIS	2020	3
GO-LUZIÂNIA	2020	3
GO-JATAÍ	2021	72
DF-BRASÍLIA	2021	14
GO-GOIÂNIA	2021	11
GO-APARECIDA DE GOIÂNIA	2021	5
GO-MINEIROS	2021	4
GO-RIO VERDE	2021	3
GO-LUZIÂNIA	2021	0
GO-ANÁPOLIS	2021	0
GO-JATAÍ	2022	55
DF-BRASÍLIA	2022	22
GO-GOIÂNIA	2022	15
GO-MINEIROS	2022	6
GO-RIO VERDE	2022	2
GO-LUZIÂNIA	2022	1
GO-APARECIDA DE GOIÂNIA	2022	1
GO-ANÁPOLIS	2022	0
GO-JATAÍ	2023	68
DF-BRASÍLIA	2023	19
GO-GOIÂNIA	2023	18
GO-RIO VERDE	2023	11
GO-LUZIÂNIA	2023	5
GO-ANÁPOLIS	2023	4
GO-APARECIDA DE GOIÂNIA	2023	4
GO-MINEIROS	2023	3
GO-JATAÍ	2024	54
DF-BRASÍLIA	2024	24
GO-GOIÂNIA	2024	21
GO-APARECIDA DE GOIÂNIA	2024	15
GO-ANÁPOLIS	2024	4
GO-RIO VERDE	2024	2
GO-MINEIROS	2024	1
GO-LUZIÂNIA	2024	0
