ano	grupocota	notacorte
2015	AC	618.61
2015	PPI	581.0450000000001
2015	RI	586.5250000000001
2015	RS	591.6700000000001
2016	AC	617.2
2016	PPI	591.5699999999999
2016	RI	594.52
2016	RS	594.7149999999999
2017	AC	622.17
2017	PPI	592.04
2017	RI	601.325
2017	RS	599.34
2018	AC	617.77
2018	PPI	547.56
2018	RI	547.295
2018	RS	575.16
2018	cD	507.5033333333334
2019	AC	614.12
2019	PPI	518.7075
2019	RI	551.3533333333334
2019	RS	534.6266666666667
2019	cD	458.59000000000003
2020	AC	604.78
2020	PPI	536.6633333333333
2020	RI	530.5925000000001
2020	RS	596.39
2020	cD	476.83000000000004
2021	AC	592.54
2021	PPI	527.1233333333333
2021	RI	525.1066666666666
2021	RS	528.3000000000001
2021	cD	465.41999999999996
2022	AC	586.94
2022	PPI	555.36
2022	RI	576.1949999999999
2022	RS	568.4449999999999
2022	cD	0.0
2023	AC	605.42
2023	PPI	528.61
2023	RI	568.6933333333333
2023	RS	526.2133333333334
2023	cD	498.74
2024	AC	605.42
2024	PPI	528.61
2024	RI	568.6933333333334
2024	RS	526.2133333333334
2024	cD	498.74
