Parâmetro	Valor
Nome do curso	EDUCAÇÃO FÍSICA
Unidade Acadêmica	ICS
Grau	Bacharelado
Turno	Integral
Duração mínima em semestres	8
Vagas anuais	40
Nota de corte da ampla concorrência em 2024	605
Ingressantes de 2012 a 2024	546 (42.0 por ano)
Graduados de 2012 a 2024	161 (13.4 por ano)
Taxa de formação histórica	30.8% (135 graduados desde 2015 para 439 ingressantes de 2012 a 2021)
Conceito Preliminar de Curso (CPC 2021)	Contínuo: 2.8, Faixa: 3
Matriculados em 2024-1	91 (56.9% da capacidade)
Matriculados em 2024-2	87 (54.4% da capacidade)
