anoinicio	anograd	pivot-grouping	count
2010	2013	0	10
2010	2014	0	8
2010	2015	0	6
2010	2016	0	1
2010	2021	0	1
2011	2014	0	8
2011	2015	0	2
2011	2016	0	3
2011	2017	0	1
2011	2018	0	1
2012	2015	0	4
2012	2016	0	1
2012	2017	0	1
2012	2018	0	2
2012	2019	0	1
2012	2021	0	1
2013	2016	0	2
2013	2017	0	2
2013	2018	0	7
2013	2019	0	4
2013	2021	0	1
2014	2017	0	3
2014	2018	0	4
2014	2019	0	2
2014	2020	0	2
2015	2018	0	4
2015	2019	0	10
2015	2020	0	2
2015	2021	0	5
2015	2022	0	3
2016	2017	0	1
2016	2018	0	2
2016	2019	0	2
2016	2020	0	1
2016	2021	0	3
2017	2020	0	5
2017	2021	0	5
2017	2022	0	1
2017	2023	0	1
2017	2024	0	1
2018	2021	0	7
2018	2022	0	1
2018	2023	0	2
2019	2021	0	1
2019	2022	0	4
2019	2023	0	7
2020	2022	0	1
2020	2023	0	1
2020	2024	0	3
2021	2024	0	7
2022	2023	0	2
2023	2024	0	1
	2013	1	10
	2014	1	16
	2015	1	12
	2016	1	7
	2017	1	8
	2018	1	20
	2019	1	19
	2020	1	10
	2021	1	24
	2022	1	10
	2023	1	13
	2024	1	12
2010		2	26
2011		2	15
2012		2	10
2013		2	16
2014		2	11
2015		2	24
2016		2	9
2017		2	13
2018		2	10
2019		2	12
2020		2	5
2021		2	7
2022		2	2
2023		2	1
		3	161
