resumo	curso	aprovado	Classificação	nps
Assiduidade	EDUCAÇÃO FÍSICA	False	Bom	67.0
Assiduidade	EDUCAÇÃO FÍSICA	True	Excelente	89.0
Coerência do método avaliativo	EDUCAÇÃO FÍSICA	False	Atenção	42.0
Coerência do método avaliativo	EDUCAÇÃO FÍSICA	True	Excelente	77.0
Cortesia e Ética	EDUCAÇÃO FÍSICA	False	Bom	50.0
Cortesia e Ética	EDUCAÇÃO FÍSICA	True	Excelente	92.0
Cumprimento do plano de ensino	EDUCAÇÃO FÍSICA	False	Bom	67.0
Cumprimento do plano de ensino	EDUCAÇÃO FÍSICA	True	Excelente	81.0
Domínio e apresentação	EDUCAÇÃO FÍSICA	False	Atenção	46.0
Domínio e apresentação	EDUCAÇÃO FÍSICA	True	Excelente	76.0
Estímulo ao aprendizado	EDUCAÇÃO FÍSICA	False	Atenção	38.0
Estímulo ao aprendizado	EDUCAÇÃO FÍSICA	True	Bom	73.0
Incentivo a Projetos	EDUCAÇÃO FÍSICA	False	Atenção	33.0
Incentivo a Projetos	EDUCAÇÃO FÍSICA	True	Excelente	80.0
Promoção do raciocínio crítico/reflexivo	EDUCAÇÃO FÍSICA	False	Atenção	33.0
Promoção do raciocínio crítico/reflexivo	EDUCAÇÃO FÍSICA	True	Excelente	77.0
Relacionamento conteúdo-profissão	EDUCAÇÃO FÍSICA	False	Bom	58.0
Relacionamento conteúdo-profissão	EDUCAÇÃO FÍSICA	True	Bom	73.0
