sg_uf_candidato	nu_ano	count
GO	2019	238
GO	2020	169
GO	2021	96
GO	2022	88
GO	2023	96
GO	2024	117
DF	2019	24
DF	2020	23
DF	2021	17
DF	2022	17
DF	2023	15
DF	2024	14
SP	2019	32
SP	2020	17
SP	2021	12
SP	2022	9
SP	2023	4
SP	2024	9
PA	2019	23
PA	2020	17
PA	2021	6
PA	2022	14
PA	2023	8
PA	2024	13
MG	2019	14
MG	2020	7
MG	2021	6
MG	2022	3
MG	2023	0
MG	2024	2
BA	2019	9
BA	2020	6
BA	2021	2
BA	2022	0
BA	2023	1
BA	2024	3
MT	2019	7
MT	2020	2
MT	2021	1
MT	2022	1
MT	2023	4
MT	2024	3
MA	2019	7
MA	2020	4
MA	2021	1
MA	2022	0
MA	2023	2
MA	2024	1
