municipio	nu_ano	count
GO-JATAÍ	2019	122
GO-GOIÂNIA	2019	43
DF-BRASÍLIA	2019	24
PA-BELÉM	2019	6
GO-MINEIROS	2019	5
GO-APARECIDA DE GOIÂNIA	2019	5
GO-ANÁPOLIS	2019	4
GO-RIO VERDE	2019	3
GO-JATAÍ	2020	80
DF-BRASÍLIA	2020	23
GO-GOIÂNIA	2020	21
PA-BELÉM	2020	4
GO-RIO VERDE	2020	3
GO-MINEIROS	2020	3
GO-APARECIDA DE GOIÂNIA	2020	3
GO-ANÁPOLIS	2020	2
GO-JATAÍ	2021	51
DF-BRASÍLIA	2021	17
GO-GOIÂNIA	2021	11
GO-APARECIDA DE GOIÂNIA	2021	5
GO-MINEIROS	2021	5
GO-ANÁPOLIS	2021	2
PA-BELÉM	2021	1
GO-RIO VERDE	2021	0
GO-JATAÍ	2022	42
DF-BRASÍLIA	2022	17
GO-GOIÂNIA	2022	6
GO-APARECIDA DE GOIÂNIA	2022	3
PA-BELÉM	2022	3
GO-RIO VERDE	2022	3
GO-MINEIROS	2022	2
GO-ANÁPOLIS	2022	0
GO-JATAÍ	2023	36
DF-BRASÍLIA	2023	15
GO-GOIÂNIA	2023	12
GO-ANÁPOLIS	2023	5
GO-APARECIDA DE GOIÂNIA	2023	5
GO-MINEIROS	2023	4
PA-BELÉM	2023	1
GO-RIO VERDE	2023	1
GO-JATAÍ	2024	35
GO-GOIÂNIA	2024	17
DF-BRASÍLIA	2024	14
GO-RIO VERDE	2024	5
GO-APARECIDA DE GOIÂNIA	2024	5
GO-ANÁPOLIS	2024	4
PA-BELÉM	2024	3
GO-MINEIROS	2024	2
