ano	grupocota	notacorte
2015	AC	600.79
2015	PPI	582.415
2015	RI	581.6600000000001
2015	RS	585.6800000000001
2016	AC	600.35
2016	PPI	580.46
2016	RI	580.605
2016	RS	578.47
2017	AC	611.93
2017	PPI	580.87
2017	RI	587.415
2017	RS	586.8
2018	AC	607.88
2018	PPI	519.6575
2018	RI	525.5575
2018	RS	510.47749999999996
2018	cD	450.97249999999997
2019	AC	600.97
2019	PPI	527.4766666666667
2019	RI	537.0766666666667
2019	RS	575.125
2019	cD	451.75
2020	AC	585.24
2020	PPI	567.8199999999999
2020	RI	568.05
2020	RS	578.3599999999999
2020	cD	0.0
2021	AC	560.19
2021	PPI	550.255
2021	RI	556.05
2021	RS	556.375
2021	cD	0.0
2022	AC	522.22
2022	PPI	494.21000000000004
2022	RI	547.365
2022	RS	519.16
2022	cD	0.0
2023	AC	582.27
2023	PPI	540.655
2023	RI	549.265
2023	RS	512.9966666666667
2023	cD	438.45
2024	AC	582.27
2024	PPI	540.655
2024	RI	549.265
2024	RS	512.9966666666667
2024	cD	438.45
