Parâmetro	Valor
Nome do curso	EDUCAÇÃO FÍSICA
Unidade Acadêmica	ICS
Grau	Licenciatura
Turno	Integral
Duração mínima em semestres	8
Vagas anuais	40
Nota de corte da ampla concorrência em 2024	582
Ingressantes de 2012 a 2024	352 (27.1 por ano)
Graduados de 2012 a 2024	148 (12.3 por ano)
Taxa de formação histórica	37.4% (104 graduados desde 2015 para 278 ingressantes de 2012 a 2021)
Conceito Preliminar de Curso (CPC 2021)	Contínuo: 3.3, Faixa: 4
Matriculados em 2024-1	47 (29.4% da capacidade)
Matriculados em 2024-2	45 (28.1% da capacidade)
