anoinicio	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	Total
2006	1	1												2
2007	2	3												5
2008	5	2	3	1										11
2009	10	3	2	1	3	1								20
2010		4	4	2		1								11
2011			4	4	1	1			1					11
2012				5		1	1							7
2013				1	1	2	2	3	1					10
2014						4	1	2	2					9
2015							9	1						10
2016							1	3	2	5	1			12
2017									6	2	2			10
2018										5	5	1		11
2019											8	2		10
2020												2	1	3
2021													5	5
2022												1		1
Total	18	13	13	14	5	10	14	9	12	12	16	6	6	148
