anoinicio	anograd	pivot-grouping	count
2006	2012	0	1
2006	2013	0	1
2007	2012	0	2
2007	2013	0	3
2008	2012	0	5
2008	2013	0	2
2008	2014	0	3
2008	2015	0	1
2009	2012	0	10
2009	2013	0	3
2009	2014	0	2
2009	2015	0	1
2009	2016	0	3
2009	2017	0	1
2010	2013	0	4
2010	2014	0	4
2010	2015	0	2
2010	2017	0	1
2011	2014	0	4
2011	2015	0	4
2011	2016	0	1
2011	2017	0	1
2011	2020	0	1
2012	2015	0	5
2012	2017	0	1
2012	2018	0	1
2013	2015	0	1
2013	2016	0	1
2013	2017	0	2
2013	2018	0	2
2013	2019	0	3
2013	2020	0	1
2014	2017	0	4
2014	2018	0	1
2014	2019	0	2
2014	2020	0	2
2015	2018	0	9
2015	2019	0	1
2016	2018	0	1
2016	2019	0	3
2016	2020	0	2
2016	2021	0	5
2016	2022	0	1
2017	2020	0	6
2017	2021	0	2
2017	2022	0	2
2018	2021	0	5
2018	2022	0	5
2018	2023	0	1
2019	2022	0	8
2019	2023	0	2
2020	2023	0	2
2020	2024	0	1
2021	2024	0	5
2022	2023	0	1
	2012	1	18
	2013	1	13
	2014	1	13
	2015	1	14
	2016	1	5
	2017	1	10
	2018	1	14
	2019	1	9
	2020	1	12
	2021	1	12
	2022	1	16
	2023	1	6
	2024	1	6
2006		2	2
2007		2	5
2008		2	11
2009		2	20
2010		2	11
2011		2	11
2012		2	7
2013		2	10
2014		2	9
2015		2	10
2016		2	12
2017		2	10
2018		2	11
2019		2	10
2020		2	3
2021		2	5
2022		2	1
		3	148
