ano_enade	nota_enade	Nota ENEM
2014	46.9	543.7
2014	63.0	514.1
2014	39.3	405.77500000000003
2014	45.0	435.55000000000007
2014	45.7	517.0
2014	53.0	421.09999999999997
2014	46.0	514.475
2014	33.9	421.2
2014	29.8	474.975
2014	37.1	491.325
2017	53.9	576.125
2017	35.8	410.42499999999995
2017	50.0	500.075
2017	38.9	449.50000000000006
2017	61.7	503.0
2017	33.0	558.125
2017	39.9	468.725
2017	48.4	445.65
2017	34.6	482.02500000000003
2017	56.6	503.75
2017	66.0	539.65
2021	31.6	517.375
2021	41.6	441.00000000000006
2021	29.5	484.8
2021	38.7	491.17499999999995
2021	30.1	500.5
2021	32.8	477.625
2021	23.6	448.675
2021	63.3	526.6500000000001
2021	36.3	488.85
2021	39.9	512.2
2021	28.8	517.675
2021	39.9	583.5
2021	37.6	503.8
2021	52.5	544.625
2021	27.9	434.025
2021	35.4	448.29999999999995
2021	44.9	551.75
2021	54.4	557.0250000000001
2021	25.8	500.97499999999997
2021	13.2	446.20000000000005
2021	20.4	490.55
2021	43.4	469.725
2021	33.8	455.425
2021	41.0	510.825
2021	41.8	596.45
2021	28.7	457.07500000000005
2021	57.4	580.625
2021	37.9	453.59999999999997
2021	26.2	493.375
