resumo	Classificação	curso	nps
Acervo da biblioteca	Ruim	EDUCAÇÃO FÍSICA	-21.0
Apoio pedagógico	Atenção	EDUCAÇÃO FÍSICA	7.0
Atendimento prestado pelos TAEs	Atenção	EDUCAÇÃO FÍSICA	21.0
Cenários de práticas	Ruim	EDUCAÇÃO FÍSICA	0.001
Coordenação: Atendimento das demandas	Atenção	EDUCAÇÃO FÍSICA	7.0
Coordenação: Horário de atendimento	Atenção	EDUCAÇÃO FÍSICA	21.0
Estágio: condições de aprendizagem	Atenção	EDUCAÇÃO FÍSICA	31.0
Estágio: suporte à formação	Atenção	EDUCAÇÃO FÍSICA	29.0
Interação da coordenação do curso	Atenção	EDUCAÇÃO FÍSICA	36.0
Portal discente/docente	Atenção	EDUCAÇÃO FÍSICA	21.0
Recursos audiovisuais e tecnológicos	Ruim	EDUCAÇÃO FÍSICA	-14.0
ᴵ Estímulo à participação em projetos	Atenção	EDUCAÇÃO FÍSICA	43.0
ᴵ Interdisciplinariedade	Bom	EDUCAÇÃO FÍSICA	60.0
