resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	0	0
Acervo da biblioteca	Bom	0	0
Acervo da biblioteca	Ruim	EDUCAÇÃO FÍSICA	-21.0
Apoio pedagógico	Atenção	EDUCAÇÃO FÍSICA	7.0
Apoio pedagógico	Bom	0	0
Apoio pedagógico	Ruim	0	0
Atendimento prestado pelos TAEs	Atenção	EDUCAÇÃO FÍSICA	21.0
Atendimento prestado pelos TAEs	Bom	0	0
Atendimento prestado pelos TAEs	Ruim	0	0
Cenários de práticas	Atenção	0	0
Cenários de práticas	Bom	0	0
Cenários de práticas	Ruim	EDUCAÇÃO FÍSICA	0.001
Coordenação: Atendimento das demandas	Atenção	EDUCAÇÃO FÍSICA	7.0
Coordenação: Atendimento das demandas	Bom	0	0
Coordenação: Atendimento das demandas	Ruim	0	0
Coordenação: Horário de atendimento	Atenção	EDUCAÇÃO FÍSICA	21.0
Coordenação: Horário de atendimento	Bom	0	0
Coordenação: Horário de atendimento	Ruim	0	0
Estágio: condições de aprendizagem	Atenção	EDUCAÇÃO FÍSICA	31.0
Estágio: condições de aprendizagem	Bom	0	0
Estágio: condições de aprendizagem	Ruim	0	0
Estágio: suporte à formação	Atenção	EDUCAÇÃO FÍSICA	29.0
Estágio: suporte à formação	Bom	0	0
Estágio: suporte à formação	Ruim	0	0
Interação da coordenação do curso	Atenção	EDUCAÇÃO FÍSICA	36.0
Interação da coordenação do curso	Bom	0	0
Interação da coordenação do curso	Ruim	0	0
Portal discente/docente	Atenção	EDUCAÇÃO FÍSICA	21.0
Portal discente/docente	Bom	0	0
Portal discente/docente	Ruim	0	0
Recursos audiovisuais e tecnológicos	Atenção	0	0
Recursos audiovisuais e tecnológicos	Bom	0	0
Recursos audiovisuais e tecnológicos	Ruim	EDUCAÇÃO FÍSICA	-14.0
ᴵ Estímulo à participação em projetos	Atenção	EDUCAÇÃO FÍSICA	43.0
ᴵ Estímulo à participação em projetos	Bom	0	0
ᴵ Estímulo à participação em projetos	Ruim	0	0
ᴵ Interdisciplinariedade	Atenção	0	0
ᴵ Interdisciplinariedade	Bom	EDUCAÇÃO FÍSICA	60.0
ᴵ Interdisciplinariedade	Ruim	0	0
