sg_uf_candidato	nu_ano	count
GO	2019	416
GO	2020	363
GO	2021	320
GO	2022	268
GO	2023	253
GO	2024	307
DF	2019	45
DF	2020	47
DF	2021	41
DF	2022	35
DF	2023	33
DF	2024	15
SP	2019	42
SP	2020	37
SP	2021	27
SP	2022	22
SP	2023	14
SP	2024	14
PA	2019	23
PA	2020	28
PA	2021	27
PA	2022	14
PA	2023	19
PA	2024	17
MG	2019	32
MG	2020	20
MG	2021	25
MG	2022	17
MG	2023	10
MG	2024	12
TO	2019	9
TO	2020	11
TO	2021	13
TO	2022	7
TO	2023	18
TO	2024	6
BA	2019	8
BA	2020	7
BA	2021	10
BA	2022	4
BA	2023	9
BA	2024	11
MT	2019	5
MT	2020	8
MT	2021	7
MT	2022	5
MT	2023	9
MT	2024	8
