municipio	nu_ano	count
GO-JATAÍ	2019	164
GO-GOIÂNIA	2019	48
DF-BRASÍLIA	2019	45
GO-RIO VERDE	2019	23
GO-APARECIDA DE GOIÂNIA	2019	18
GO-ANÁPOLIS	2019	12
GO-MINEIROS	2019	8
GO-SERRANÓPOLIS	2019	7
GO-JATAÍ	2020	132
GO-GOIÂNIA	2020	54
DF-BRASÍLIA	2020	47
GO-APARECIDA DE GOIÂNIA	2020	13
GO-RIO VERDE	2020	12
GO-ANÁPOLIS	2020	8
GO-MINEIROS	2020	6
GO-SERRANÓPOLIS	2020	6
GO-JATAÍ	2021	101
DF-BRASÍLIA	2021	41
GO-GOIÂNIA	2021	41
GO-APARECIDA DE GOIÂNIA	2021	18
GO-RIO VERDE	2021	11
GO-ANÁPOLIS	2021	10
GO-MINEIROS	2021	8
GO-SERRANÓPOLIS	2021	6
GO-JATAÍ	2022	95
GO-GOIÂNIA	2022	36
DF-BRASÍLIA	2022	35
GO-MINEIROS	2022	9
GO-RIO VERDE	2022	9
GO-APARECIDA DE GOIÂNIA	2022	6
GO-ANÁPOLIS	2022	4
GO-SERRANÓPOLIS	2022	2
GO-JATAÍ	2023	73
DF-BRASÍLIA	2023	33
GO-GOIÂNIA	2023	30
GO-RIO VERDE	2023	10
GO-ANÁPOLIS	2023	9
GO-SERRANÓPOLIS	2023	8
GO-APARECIDA DE GOIÂNIA	2023	7
GO-MINEIROS	2023	5
GO-JATAÍ	2024	77
GO-GOIÂNIA	2024	43
GO-MINEIROS	2024	15
GO-APARECIDA DE GOIÂNIA	2024	15
DF-BRASÍLIA	2024	15
GO-RIO VERDE	2024	14
GO-ANÁPOLIS	2024	2
GO-SERRANÓPOLIS	2024	0
