ano	grupocota	notacorte
2015	AC	650.28
2015	PPI	609.3499999999999
2015	RI	606.88
2015	RS	620.5799999999999
2016	AC	651.51
2016	PPI	590.775
2016	RI	613.835
2016	RS	600.605
2017	AC	669.46
2017	PPI	627.605
2017	RI	627.005
2017	RS	635.615
2018	AC	681.67
2018	PPI	575.2725
2018	RI	602.3699999999999
2018	RS	579.72
2018	cD	535.37
2019	AC	686.06
2019	PPI	584.2266666666667
2019	RI	582.9933333333333
2019	RS	660.0999999999999
2019	cD	463.68
2020	AC	678.61
2020	PPI	572.275
2020	RI	581.47
2020	RS	573.5550000000001
2020	cD	505.6775
2021	AC	676.86
2021	PPI	533.8475
2021	RI	561.53
2021	RS	572.71
2021	cD	486.7075
2022	AC	670.76
2022	PPI	624.26
2022	RI	636.6700000000001
2022	RS	607.8466666666667
2022	cD	570.93
2023	AC	674.3
2023	PPI	512.2666666666667
2023	RI	515.2166666666667
2023	RS	660.005
2023	cD	253.34
2024	AC	674.3
2024	PPI	512.2666666666668
2024	RI	515.2166666666667
2024	RS	660.005
2024	cD	253.34
