Parâmetro	Valor
Nome do curso	ENFERMAGEM
Unidade Acadêmica	ICS
Grau	Bacharelado
Turno	Integral
Duração mínima em semestres	10
Vagas anuais	30
Nota de corte da ampla concorrência em 2024	674
Ingressantes de 2012 a 2024	408 (31.4 por ano)
Graduados de 2012 a 2024	228 (19.0 por ano)
Taxa de formação histórica	51.0% (159 graduados desde 2016 para 281 ingressantes de 2012 a 2020)
Conceito Preliminar de Curso (CPC 2023)	Contínuo: 2.9, Faixa: 3
Matriculados em 2024-1	135 (90.0% da capacidade)
Matriculados em 2024-2	111 (74.0% da capacidade)
