anoinicio	anograd	pivot-grouping	count
2008	2012	0	10
2008	2013	0	11
2008	2014	0	2
2008	2015	0	2
2009	2013	0	11
2009	2014	0	4
2009	2015	0	2
2009	2016	0	3
2009	2017	0	1
2010	2014	0	11
2010	2015	0	5
2010	2016	0	1
2011	2015	0	10
2011	2016	0	6
2011	2017	0	4
2011	2018	0	1
2012	2016	0	9
2012	2017	0	8
2012	2018	0	3
2013	2014	0	1
2013	2016	0	1
2013	2017	0	8
2013	2018	0	4
2013	2019	0	2
2014	2016	0	1
2014	2017	0	1
2014	2018	0	5
2014	2019	0	2
2014	2020	0	2
2014	2022	0	1
2015	2019	0	6
2015	2020	0	6
2015	2024	0	1
2016	2019	0	1
2016	2020	0	7
2016	2022	0	1
2016	2023	0	6
2017	2022	0	9
2017	2023	0	7
2017	2024	0	2
2018	2023	0	16
2018	2024	0	7
2019	2024	0	14
2020	2024	0	10
2021	2023	0	3
	2012	1	10
	2013	1	22
	2014	1	18
	2015	1	19
	2016	1	21
	2017	1	22
	2018	1	13
	2019	1	11
	2020	1	15
	2022	1	11
	2023	1	32
	2024	1	34
2008		2	25
2009		2	21
2010		2	17
2011		2	21
2012		2	20
2013		2	16
2014		2	12
2015		2	13
2016		2	15
2017		2	18
2018		2	23
2019		2	14
2020		2	10
2021		2	3
		3	228
