ano_enade	nota_enade	Nota ENEM
2016	54.3	567.9000000000001
2016	30.8	541.05
2016	68.6	563.0
2016	32.8	553.8
2016	45.6	530.525
2016	39.1	507.95000000000005
2016	54.5	546.9499999999999
2016	64.1	605.425
2016	54.3	627.1999999999999
2016	40.0	530.075
2016	71.6	591.85
2016	63.1	652.3500000000001
2016	46.6	538.825
2016	39.7	481.5
2016	76.7	641.05
2019	60.6	617.675
2019	84.4	621.5250000000001
2019	56.0	586.55
2019	71.0	608.45
2019	53.4	535.2
2019	60.9	551.975
2019	60.6	641.55
2019	23.3	467.67500000000007
2019	65.8	492.2
2023	52.2	492.5
2023	51.9	536.8249999999999
2023	61.8	559.3000000000001
2023	53.1	542.825
2023	68.3	522.5
2023	57.0	508.75
2023	44.6	583.175
2023	68.7	649.625
2023	60.6	573.275
2023	42.9	474.375
2023	59.9	538.325
2023	41.0	534.825
2023	41.9	511.35
2023	37.2	515.1
2023	55.7	465.225
2023	44.4	498.55
2023	53.2	464.82500000000005
2023	68.9	601.7
2023	63.8	519.9
2023	67.8	659.375
2023	48.1	535.9
2023	34.5	490.92500000000007
2023	54.2	560.725
2023	60.9	601.275
2023	65.3	524.2750000000001
2023	42.3	556.075
2023	71.5	624.825
2023	61.7	577.025
2023	34.9	482.125
2023	26.3	527.25
2023	73.2	552.225
2023	45.4	507.35
2023	51.6	587.85
2023	68.0	668.2750000000001
