resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	ENFERMAGEM	11.0
Apoio pedagógico	Bom	ENFERMAGEM	55.0
Atendimento prestado pelos TAEs	Ruim	ENFERMAGEM	-5.0
Cenários de práticas	Ruim	ENFERMAGEM	-18.0
Coordenação: Atendimento das demandas	Atenção	ENFERMAGEM	14.0
Coordenação: Horário de atendimento	Bom	ENFERMAGEM	73.0
Estágio: condições de aprendizagem	Atenção	ENFERMAGEM	25.0
Estágio: suporte à formação	Atenção	ENFERMAGEM	17.0
Interação da coordenação do curso	Atenção	ENFERMAGEM	9.0
Portal discente/docente	Atenção	ENFERMAGEM	23.0
Recursos audiovisuais e tecnológicos	Ruim	ENFERMAGEM	-27.0
ᴵ Estímulo à participação em projetos	Atenção	ENFERMAGEM	32.0
ᴵ Interdisciplinariedade	Atenção	ENFERMAGEM	23.0
