resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	ENFERMAGEM	11.0
Acervo da biblioteca	Bom	0	0
Acervo da biblioteca	Ruim	0	0
Apoio pedagógico	Atenção	0	0
Apoio pedagógico	Bom	ENFERMAGEM	55.0
Apoio pedagógico	Ruim	0	0
Atendimento prestado pelos TAEs	Atenção	0	0
Atendimento prestado pelos TAEs	Bom	0	0
Atendimento prestado pelos TAEs	Ruim	ENFERMAGEM	-5.0
Cenários de práticas	Atenção	0	0
Cenários de práticas	Bom	0	0
Cenários de práticas	Ruim	ENFERMAGEM	-18.0
Coordenação: Atendimento das demandas	Atenção	ENFERMAGEM	14.0
Coordenação: Atendimento das demandas	Bom	0	0
Coordenação: Atendimento das demandas	Ruim	0	0
Coordenação: Horário de atendimento	Atenção	0	0
Coordenação: Horário de atendimento	Bom	ENFERMAGEM	73.0
Coordenação: Horário de atendimento	Ruim	0	0
Estágio: condições de aprendizagem	Atenção	ENFERMAGEM	25.0
Estágio: condições de aprendizagem	Bom	0	0
Estágio: condições de aprendizagem	Ruim	0	0
Estágio: suporte à formação	Atenção	ENFERMAGEM	17.0
Estágio: suporte à formação	Bom	0	0
Estágio: suporte à formação	Ruim	0	0
Interação da coordenação do curso	Atenção	ENFERMAGEM	9.0
Interação da coordenação do curso	Bom	0	0
Interação da coordenação do curso	Ruim	0	0
Portal discente/docente	Atenção	ENFERMAGEM	23.0
Portal discente/docente	Bom	0	0
Portal discente/docente	Ruim	0	0
Recursos audiovisuais e tecnológicos	Atenção	0	0
Recursos audiovisuais e tecnológicos	Bom	0	0
Recursos audiovisuais e tecnológicos	Ruim	ENFERMAGEM	-27.0
ᴵ Estímulo à participação em projetos	Atenção	ENFERMAGEM	32.0
ᴵ Estímulo à participação em projetos	Bom	0	0
ᴵ Estímulo à participação em projetos	Ruim	0	0
ᴵ Interdisciplinariedade	Atenção	ENFERMAGEM	23.0
ᴵ Interdisciplinariedade	Bom	0	0
ᴵ Interdisciplinariedade	Ruim	0	0
