resumo	curso	aprovado	Classificação	nps
Assiduidade	ENFERMAGEM	False	Excelente	100.0
Assiduidade	ENFERMAGEM	True	Excelente	83.0
Coerência do método avaliativo	ENFERMAGEM	False	Excelente	75.0
Coerência do método avaliativo	ENFERMAGEM	True	Bom	72.0
Cortesia e Ética	ENFERMAGEM	False	Excelente	75.0
Cortesia e Ética	ENFERMAGEM	True	Excelente	78.0
Cumprimento do plano de ensino	ENFERMAGEM	False	Excelente	88.0
Cumprimento do plano de ensino	ENFERMAGEM	True	Excelente	82.0
Domínio e apresentação	ENFERMAGEM	False	Bom	62.0
Domínio e apresentação	ENFERMAGEM	True	Bom	75.0
Estímulo ao aprendizado	ENFERMAGEM	False	Bom	50.0
Estímulo ao aprendizado	ENFERMAGEM	True	Bom	72.0
Incentivo a Projetos	ENFERMAGEM	False	Atenção	38.0
Incentivo a Projetos	ENFERMAGEM	True	Bom	59.0
Promoção do raciocínio crítico/reflexivo	ENFERMAGEM	False	Bom	50.0
Promoção do raciocínio crítico/reflexivo	ENFERMAGEM	True	Excelente	78.0
Relacionamento conteúdo-profissão	ENFERMAGEM	False	Excelente	75.0
Relacionamento conteúdo-profissão	ENFERMAGEM	True	Excelente	76.0
