ano	curso	inscporvaga
2015	ENFERMAGEM	20.966666666666665
2015	Média UFJ	19.23611111111111
2015	Média da Unidade Acadêmica	36.304
2016	ENFERMAGEM	17.566666666666666
2016	Média UFJ	18.60648148148148
2016	Média da Unidade Acadêmica	33.064
2017	ENFERMAGEM	27.9
2017	Média UFJ	19.575925925925926
2017	Média da Unidade Acadêmica	36.988
2018	ENFERMAGEM	20.0
2018	Média UFJ	14.322222222222223
2018	Média da Unidade Acadêmica	26.7
2019	ENFERMAGEM	20.93103448275862
2019	Média UFJ	13.692742695570217
2019	Média da Unidade Acadêmica	26.092741935483872
2020	ENFERMAGEM	18.266666666666666
2020	Média UFJ	13.282178217821782
2020	Média da Unidade Acadêmica	26.332
2021	ENFERMAGEM	17.033333333333335
2021	Média UFJ	12.210185185185185
2021	Média da Unidade Acadêmica	28.796
2022	ENFERMAGEM	13.5
2022	Média UFJ	9.397222222222222
2022	Média da Unidade Acadêmica	22.436
2023	ENFERMAGEM	12.9
2023	Média UFJ	9.282407407407407
2023	Média da Unidade Acadêmica	21.852
2024	ENFERMAGEM	13.966666666666667
2024	Média UFJ	9.780555555555555
2024	Média da Unidade Acadêmica	23.948
