sg_uf_candidato	nu_ano	count
GO	2019	719
GO	2020	798
GO	2021	550
GO	2022	271
GO	2023	275
GO	2024	331
DF	2019	38
DF	2020	118
DF	2021	114
DF	2022	47
DF	2023	38
DF	2024	48
SP	2019	112
SP	2020	97
SP	2021	61
SP	2022	38
SP	2023	51
SP	2024	35
PA	2019	83
PA	2020	88
PA	2021	76
PA	2022	34
PA	2023	51
PA	2024	31
MG	2019	79
MG	2020	72
MG	2021	49
MG	2022	31
MG	2023	29
MG	2024	28
MT	2019	28
MT	2020	43
MT	2021	31
MT	2022	19
MT	2023	16
MT	2024	20
TO	2019	23
TO	2020	38
TO	2021	34
TO	2022	14
TO	2023	25
TO	2024	13
BA	2019	26
BA	2020	35
BA	2021	27
BA	2022	20
BA	2023	13
BA	2024	17
