municipio	nu_ano	count
GO-JATAÍ	2019	175
GO-GOIÂNIA	2019	165
GO-APARECIDA DE GOIÂNIA	2019	58
DF-BRASÍLIA	2019	38
GO-ANÁPOLIS	2019	23
GO-RIO VERDE	2019	15
GO-LUZIÂNIA	2019	11
GO-FORMOSA	2019	7
GO-JATAÍ	2020	169
GO-GOIÂNIA	2020	159
DF-BRASÍLIA	2020	118
GO-APARECIDA DE GOIÂNIA	2020	55
GO-ANÁPOLIS	2020	30
GO-FORMOSA	2020	18
GO-LUZIÂNIA	2020	14
GO-RIO VERDE	2020	7
GO-JATAÍ	2021	124
DF-BRASÍLIA	2021	114
GO-GOIÂNIA	2021	107
GO-APARECIDA DE GOIÂNIA	2021	47
GO-ANÁPOLIS	2021	21
GO-FORMOSA	2021	13
GO-LUZIÂNIA	2021	11
GO-RIO VERDE	2021	8
GO-JATAÍ	2022	93
DF-BRASÍLIA	2022	47
GO-GOIÂNIA	2022	33
GO-APARECIDA DE GOIÂNIA	2022	12
GO-LUZIÂNIA	2022	10
GO-RIO VERDE	2022	7
GO-FORMOSA	2022	6
GO-ANÁPOLIS	2022	3
GO-JATAÍ	2023	90
GO-GOIÂNIA	2023	40
DF-BRASÍLIA	2023	38
GO-ANÁPOLIS	2023	9
GO-RIO VERDE	2023	9
GO-APARECIDA DE GOIÂNIA	2023	6
GO-FORMOSA	2023	4
GO-LUZIÂNIA	2023	4
GO-JATAÍ	2024	111
DF-BRASÍLIA	2024	48
GO-GOIÂNIA	2024	43
GO-APARECIDA DE GOIÂNIA	2024	10
GO-RIO VERDE	2024	8
GO-FORMOSA	2024	7
GO-ANÁPOLIS	2024	5
GO-LUZIÂNIA	2024	5
