ano	grupocota	notacorte
2015	AC	651.36
2015	PPI	609.985
2015	RI	618.0799999999999
2015	RS	615.46
2016	AC	650.5
2016	PPI	601.4
2016	RI	608.68
2016	RS	614.245
2017	AC	676.18
2017	PPI	637.585
2017	RI	639.235
2017	RS	648.235
2018	AC	678.38
2018	PPI	592.53
2018	RI	598.0325
2018	RS	598.53
2018	cD	552.5075
2019	AC	685.75
2019	PPI	592.8425
2019	RI	610.33
2019	RS	618.8033333333334
2019	cD	544.325
2020	AC	683.29
2020	PPI	568.2475
2020	RI	578.8775
2020	RS	567.12
2020	cD	500.51750000000004
2021	AC	665.84
2021	PPI	569.17
2021	RI	570.16
2021	RS	577.9325
2021	cD	497.7049999999999
2022	AC	671.17
2022	PPI	536.425
2022	RI	537.38
2022	RS	585.7466666666667
2022	cD	455.3833333333334
2023	AC	666.24
2023	PPI	612.7966666666667
2023	RI	594.4725
2023	RS	604.9000000000001
2023	cD	553.25
2024	AC	666.24
2024	PPI	612.7966666666667
2024	RI	594.4725
2024	RS	604.9000000000001
2024	cD	553.25
