Parâmetro	Valor
Nome do curso	FISIOTERAPIA
Unidade Acadêmica	ICS
Grau	Bacharelado
Turno	Integral
Duração mínima em semestres	10
Vagas anuais	40
Nota de corte da ampla concorrência em 2024	666
Ingressantes de 2012 a 2024	534 (41.1 por ano)
Graduados de 2012 a 2024	254 (21.2 por ano)
Taxa de formação histórica	52.9% (213 graduados desde 2016 para 363 ingressantes de 2012 a 2020)
Conceito Preliminar de Curso (CPC 2023)	Contínuo: 3.4, Faixa: 4
Matriculados em 2024-1	189 (94.5% da capacidade)
Matriculados em 2024-2	160 (80.0% da capacidade)
