anoinicio	anograd	pivot-grouping	count
2010	2014	0	19
2010	2015	0	6
2010	2017	0	1
2010	2018	0	1
2011	2015	0	16
2011	2016	0	9
2011	2017	0	2
2011	2018	0	1
2011	2019	0	1
2011	2020	0	1
2012	2016	0	13
2012	2017	0	4
2012	2018	0	2
2012	2019	0	1
2013	2016	0	2
2013	2017	0	14
2013	2018	0	1
2013	2019	0	3
2013	2020	0	3
2013	2021	0	2
2013	2023	0	1
2014	2016	0	2
2014	2018	0	11
2014	2019	0	6
2014	2020	0	5
2014	2021	0	1
2014	2022	0	1
2015	2019	0	13
2015	2020	0	2
2015	2022	0	3
2015	2023	0	2
2015	2024	0	1
2016	2020	0	15
2016	2021	0	2
2016	2023	0	3
2016	2024	0	1
2017	2022	0	28
2017	2023	0	1
2017	2024	0	3
2018	2023	0	15
2018	2024	0	8
2019	2023	0	1
2019	2024	0	18
2020	2024	0	9
	2014	1	19
	2015	1	22
	2016	1	26
	2017	1	21
	2018	1	16
	2019	1	24
	2020	1	26
	2021	1	5
	2022	1	32
	2023	1	23
	2024	1	40
2010		2	27
2011		2	30
2012		2	20
2013		2	26
2014		2	26
2015		2	21
2016		2	21
2017		2	32
2018		2	23
2019		2	19
2020		2	9
		3	254
