ano_enade	nota_enade	Nota ENEM
2016	32.8	572.1999999999999
2016	31.2	499.725
2016	42.8	515.15
2016	35.8	560.0999999999999
2016	39.7	567.075
2016	47.9	537.5
2016	21.7	516.6999999999999
2016	34.8	511.80000000000007
2016	36.0	487.20000000000005
2016	38.3	521.9000000000001
2016	42.5	593.2
2016	50.1	575.75
2016	19.4	498.37499999999994
2016	37.6	518.5999999999999
2016	35.3	513.625
2016	37.1	519.3
2016	31.1	450.825
2016	40.2	443.025
2016	41.2	509.325
2016	34.6	517.075
2016	31.8	479.19999999999993
2016	39.9	541.1750000000001
2016	42.6	537.85
2019	53.7	588.6
2019	29.4	496.075
2019	39.1	503.47499999999997
2019	60.3	598.15
2019	49.0	536.0
2019	35.1	598.5999999999999
2019	38.8	519.475
2019	23.2	526.325
2019	38.2	549.9250000000001
2019	18.2	459.0
2019	52.4	612.975
2019	27.8	548.4
2019	43.3	501.675
2019	36.6	473.79999999999995
2019	54.9	598.55
2019	32.8	519.0
2019	42.1	603.4
2019	46.4	604.675
2019	25.6	564.3
2019	44.1	462.59999999999997
2019	49.7	558.25
2019	52.9	493.575
2019	62.4	562.975
2019	20.5	558.225
2019	25.6	506.175
2019	27.4	490.74999999999994
2023	60.8	568.375
2023	69.6	611.4749999999999
2023	54.1	605.575
2023	62.7	570.1
2023	63.4	556.75
2023	65.1	622.8
2023	61.2	543.525
2023	67.9	623.5
2023	70.2	558.8
2023	36.6	541.75
2023	49.3	551.45
2023	74.7	581.75
2023	65.1	582.3000000000001
2023	56.2	533.1
2023	64.9	532.425
2023	66.0	529.8249999999999
2023	60.5	500.87500000000006
2023	45.3	478.19999999999993
2023	53.3	444.79999999999995
2023	83.8	611.5
2023	64.1	557.35
2023	65.6	501.625
2023	84.4	612.575
2023	70.1	472.6
2023	84.9	564.55
2023	57.9	578.325
2023	70.4	601.5
2023	71.6	628.65
2023	52.8	527.5749999999999
2023	65.4	604.775
2023	69.3	650.9
2023	64.0	643.55
2023	70.2	578.5500000000001
2023	51.5	570.45
2023	47.5	511.9
2023	70.4	593.3
2023	64.8	554.975
2023	68.8	566.4
2023	71.5	610.15
2023	56.0	500.5
2023	64.6	539.125
2023	84.0	638.975
2023	46.0	578.8249999999999
2023	56.9	564.6500000000001
2023	34.9	550.125
