resumo	Classificação	curso	nps
Acervo da biblioteca	Ruim	FISIOTERAPIA	-23.0
Apoio pedagógico	Atenção	FISIOTERAPIA	13.0
Atendimento prestado pelos TAEs	Atenção	FISIOTERAPIA	36.0
Cenários de práticas	Ruim	FISIOTERAPIA	-47.0
Coordenação: Atendimento das demandas	Ruim	FISIOTERAPIA	-93.0
Coordenação: Horário de atendimento	Ruim	FISIOTERAPIA	-31.0
Estágio: condições de aprendizagem	Ruim	FISIOTERAPIA	-8.0
Estágio: suporte à formação	Ruim	FISIOTERAPIA	-23.0
Interação da coordenação do curso	Ruim	FISIOTERAPIA	-80.0
Portal discente/docente	Ruim	FISIOTERAPIA	-20.0
Recursos audiovisuais e tecnológicos	Ruim	FISIOTERAPIA	-40.0
ᴵ Estímulo à participação em projetos	Ruim	FISIOTERAPIA	-33.0
ᴵ Interdisciplinariedade	Ruim	FISIOTERAPIA	-7.0
