resumo	curso	aprovado	Classificação	nps
Assiduidade	FISIOTERAPIA	False	Excelente	88.0
Assiduidade	FISIOTERAPIA	True	Bom	73.0
Coerência do método avaliativo	FISIOTERAPIA	False	Excelente	75.0
Coerência do método avaliativo	FISIOTERAPIA	True	Bom	66.0
Cortesia e Ética	FISIOTERAPIA	False	Excelente	88.0
Cortesia e Ética	FISIOTERAPIA	True	Bom	74.0
Cumprimento do plano de ensino	FISIOTERAPIA	False	Excelente	88.0
Cumprimento do plano de ensino	FISIOTERAPIA	True	Bom	75.0
Domínio e apresentação	FISIOTERAPIA	False	Excelente	81.0
Domínio e apresentação	FISIOTERAPIA	True	Bom	67.0
Estímulo ao aprendizado	FISIOTERAPIA	False	Bom	62.0
Estímulo ao aprendizado	FISIOTERAPIA	True	Bom	67.0
Incentivo a Projetos	FISIOTERAPIA	False	Excelente	81.0
Incentivo a Projetos	FISIOTERAPIA	True	Bom	64.0
Promoção do raciocínio crítico/reflexivo	FISIOTERAPIA	False	Excelente	88.0
Promoção do raciocínio crítico/reflexivo	FISIOTERAPIA	True	Bom	70.0
Relacionamento conteúdo-profissão	FISIOTERAPIA	False	Bom	69.0
Relacionamento conteúdo-profissão	FISIOTERAPIA	True	Bom	69.0
