ano	curso	inscporvaga
2015	FISIOTERAPIA	29.85
2015	Média UFJ	19.23611111111111
2015	Média da Unidade Acadêmica	36.304
2016	FISIOTERAPIA	36.05
2016	Média UFJ	18.60648148148148
2016	Média da Unidade Acadêmica	33.064
2017	FISIOTERAPIA	38.275
2017	Média UFJ	19.575925925925926
2017	Média da Unidade Acadêmica	36.988
2018	FISIOTERAPIA	31.175
2018	Média UFJ	14.322222222222223
2018	Média da Unidade Acadêmica	26.7
2019	FISIOTERAPIA	29.6
2019	Média UFJ	13.692742695570217
2019	Média da Unidade Acadêmica	26.092741935483872
2020	FISIOTERAPIA	34.575
2020	Média UFJ	13.282178217821782
2020	Média da Unidade Acadêmica	26.332
2021	FISIOTERAPIA	25.475
2021	Média UFJ	12.210185185185185
2021	Média da Unidade Acadêmica	28.796
2022	FISIOTERAPIA	13.375
2022	Média UFJ	9.397222222222222
2022	Média da Unidade Acadêmica	22.436
2023	FISIOTERAPIA	13.85
2023	Média UFJ	9.282407407407407
2023	Média da Unidade Acadêmica	21.852
2024	FISIOTERAPIA	14.275
2024	Média UFJ	9.780555555555555
2024	Média da Unidade Acadêmica	23.948
